time,x,x_dot,theta,theta_dot,torque
1.725,0.35,0.000109757355,2.8813832,-1.1798508,794.39136
1.73,0.35,0.00011122861,2.8790686,-1.1763856,802.07367
1.735,0.35,0.00011269061,2.8767614,-1.1728916,809.7265
1.74,0.35,0.00011414342,2.874462,-1.1693691,817.3523
1.745,0.35,0.00011558714,2.8721704,-1.1658177,824.95044
1.75,0.35,0.000117021846,2.8698866,-1.1622373,832.51917
1.7550000000000001,0.35,0.000118447526,2.8676107,-1.1586297,840.0602
1.76,0.35,0.00011986395,2.8653426,-1.1549922,847.5728
1.7650000000000001,0.35,0.00012126763,2.8630826,-1.1513268,855.0567
1.77,0.35,0.00012266578,2.8608308,-1.1476336,862.5112
1.7750000000000001,0.35,0.00012405455,2.8585868,-1.1439118,869.9366
1.78,0.35,0.00012543425,2.8563511,-1.1401608,877.33344
1.7850000000000001,0.35,0.00012680463,2.8541236,-1.1363813,884.7
1.79,0.35,0.00012816559,2.8519044,-1.1325736,892.03723
1.795,0.35,0.00012951734,2.8496935,-1.1287388,899.34436
1.8,0.35,0.00013109826,2.8474913,-1.1248746,906.6214
1.805,0.35,0.00013219303,2.845297,-1.1209828,913.86725
1.81,0.35,0.00013351708,2.8431115,-1.1170627,921.08417
1.815,0.35,0.00013483153,2.8409345,-1.1131147,928.2699
1.82,0.35,0.00013613683,2.838766,-1.1091378,935.42474
1.825,0.35,0.0001374323,2.8366065,-1.1051325,942.5486
1.83,0.35,0.00013871893,2.8344555,-1.1010998,949.64075
1.835,0.35,0.00013999583,2.8323133,-1.097039,956.70197
1.84,0.35,0.0001412633,2.83018,-1.0929507,963.73145
1.845,0.35,0.00014252169,2.8280554,-1.0888336,970.7292
1.85,0.35,0.00014377077,2.82594,-1.0846894,977.6951
1.855,0.35,0.0001450103,2.8238332,-1.0805175,984.6286
1.86,0.35,0.0001462404,2.8217359,-1.0763174,991.53033
1.865,0.35,0.00014769961,2.8196476,-1.0720898,998.3987
1.87,0.35,0.00014867232,2.8175683,-1.0678352,1005.2343
1.875,0.35,0.00014987448,2.8154979,-1.063551,1012.0379
